word occurrence
enfrentou 1
separatista 1
inconformado 1
rumo 1
absolutistas 1
imprimido 1
sucessão 1
abdicou 1
favor 1
herdeiro 1
viria 1
retornou 1
filha 1
poderia 1
maturidade 1
prerrogativas 1
constitucionais 1
regência 1
adotada 1
localizadas 1
cabanagem 1
malês 1
balaiada 1
sabinada 1
farroupilha 1
descontentamento 1
províncias 1
tensões 1
latentes 1
escravocrata 1
recémindependente 1
agitação 1
prematuramente 1
julho 1
daquela 1
revoltas 1
praieira 1
debeladas 1
pôde 1
voltar 1
internacionalmente 1
perda 1
saiu 1
vitorioso 1
cone 1
reinado 1
prata 1
exigiu 1
esforço 1
concernente 1
marítima 1
exercida 1
bill 1
aberdeen 1
concordou 1
abandonar 1
tráfico 1
repercussão 1
confederados 1
americana 1
mobilização 1
debate 1
desmontagem 1
moral 1
legal 1
formalmente 1
abolida 1
pósabolição 1
desgastada 1
estagnação 1
atrito 1
oficialidade 1
elites 1
rurais 1
razões 1
derrubada 1
velha 1
óleo 1
tela 1
benedito 1
calixto 1
figuras 1
esteve 1
saudados 1
massarosa 1
latinoamericana 1
previa 1
abolisse 1
restrição 1
estabelecia 1
tivessem 1
determinado 1
aberto 1
secreto 1
restrições 1
circunscrito 1
numa 1
analfabeta 1
manteve 1
relativo 1
equilíbrio 1
acriana 1
envolvimento 1
internamente 1
encilhamento 1
iniciouse 1
prolongado 1
instabilidade 1
financeira 1
estenderia 1
mantendo 1
assolado 1
estas 1
minaram 1
tal 1
possível 1
derrotado 1
esteira 1
assassinato 1
chapa 1
liderar 1
deveriam 1
temporariamente 1
implementar 1
fecharam 1
seguiram 1
governando 1
emergência 1
interventores 1
justificativa 1
cobrar 1
implementação 1
promessas 1
oligarquia 1
paulista 1
comunistas 1
rebelaram 1
intentona 1
derrotados 1
serviu 1
pretexto 1
impedir 1
previamente 1
lançassem 1
mão 1
formalizando 1
houve 1
levante 1
integralista 1
fracassada 1
tomada 1
desta 1
nacionalistas 1
mantevese 1
neutro 1
levaram 1
postarse 1
conferência 1
interamericana 1
rompendo 1
eixo 1
represália 1
marinhas 1
nazista 1
fascista 1
estenderam 1
campanha 1
submarina 1
contínuo 1
afundamento 1
mercantes 1
declaroulhes 1
enviado 1
combater 1
aliada 1
nazifascistas 1
insustentável 1
rapidamente 1
restabelecida 1
general 1
eurico 1
gaspar 1
dutra 1
tomando 1
voltado 1
suicidouse 1
edifíciosede 1
tanques 1
m 1
ocupam 1
avenida 1
provisórios 1
breves 1
sucederamse 1
juscelino 1
postura 1
conciliadora 1
lhe 1
governar 1
cresceram 1
consideravelmente 1
inaugurada 1
sucessor 1
jânio 1
quadros 1
renunciou 1
goulart 1
suscitou 1
resultou 1
instauração 1
destinava 1
transitório 1
fechado 1
si 1
plena 1
ato 1
institucional 1
n 1
censura 1
tortura 1
restringiram 1
oposicionistas 1
militantes 1
ação 1
alcançou 1
quem 1
encarava 1
opositores 1
ligados 1
abrangeu 1
jornalistas 1
clérigos 1
sindicalistas 1
intelectuais 1
expressassem 1
discordância 1
familiares 1
condor 1
participou 1
perseguição 1
dissidentes 1
ditatoriais 1
popularidade 1
num 1
milagre 1
coincidiu 1
abrandou 1
guerrilha 1
somado 1
inabilidade 1
lidar 1
econômicas 1
pressões 1
inevitável 1
abertura 1
conduzida 1
generais 1
geisel 1
golbery 1
anistia 1
volta 1
completaria 1
ulysses 1
redemocratizou 1
comemorativa 1
voltaram 1
inaugurando 1
oposicionista 1
entretanto 1
doença 1
impopular 1
conta 1
piora 1
herdadas 1
breve 1
euforia 1
cruzado 1
continuidade 1
instaurando 1
assembleia 1
constituinte 1
promulgou 1
fracasso 1
consequente 1
desconhecido 1
franco 1
assumindo 1
nomeado 1
integrantes 1
aprovaram 1
destacouse 1
henrique 1
cardoso 1
ministro 1
fazenda 1
coordenador 1
bemsucedido 1
realc 1
anteriores 1
fracassado 1
controlar 1
consequência 1
novamente 1
opositor 1
reeleito 1
conseguiu 1
alcançar 1
procurada 1
mulher 1
eleita 1
irromperam 1
reivindicações 1
polarizadas 1
reeleita 1
rejeição 1
protestos 1
investigados 1
ratificado 1
deposta 1
michel 1
temer 1
temporário 1
andré 1
invasão 1
ataques 1
expresidente 1
preso 1
lavagem 1
dinheiro 1
lava 1
jato 1
elegeuse 1
jair 1
psl 1
venceu 1
haddad 1
válidos 1
especialistas 1
culparam 1
situação 1
minimizou 1
repetidamente 1
dissuadiu 1
aplicar 1
medidas 1
distanciamento 1
afirmou 1
concorreria 1
votação 1
eleitorado 1
classificandose 1
acirrado 1
presidenciais 1
servir 1
consecutivos 1
vencer 1
multidão 1
extremistas 1
atacou 1
sedes 1
semanas 1
golpistas 1
turba 1
invadiu 1
vandalizou 1
praça 1
derrubar 1
instigar 1
líderes 1
desferir 1
interromper 1
decretou 1
topográfico 1
cortado 1
círculos 1
imaginários 1
linha 1
passa 1
embocadura 1
trópico 1
capricórnio 1
corta 1
vasta 1
continente 1
compartilhando 1
terrestres 1
compartilha 1
oceânicos 1
tamanho 1
fazem 1
diverso 1
fusos 1
horários 1
acre 1
roraima 1
amapá 1
ilhas 1
climática 1
dispõe 1
variada 1
acolhe 1
subtipos 1
climáticos 1
subtropical 1
climáticas 1
produzem 1
ambientes 1
variam 1
equatoriais 1
semiáridas 1
temperadas 1
coníferas 1
savanas 1
microclimas 1
caracteriza 1
existe 1
chove 1
temperaturas 1
médias 1
variação 1
significativa 1
noite 1
estações 1
chuvas 1
sazonais 1
característico 1
savana 1
tão 1
fica 1
latitude 1
inferior 1
invernos 1
frescos 1
geadas 1
inverno 1
ocasional 1
queda 1
neve 1
elevadas 1
precipitação 1
sazonal 1
extrema 1
recebe 1
milímetros 1
chuva 1
resultando 1
causou 1
cânion 1
xingó 1
divisa 1
sergipe 1
órgãos 1
teresópolis 1
diversificada 1
montanhas 1
planícies 1
planaltos 1
cerrados 1
metade 1
amplo 1
rolamento 1
quebrado 1
baixo 1
arredondados 1
seção 1
robusta 1
complexa 1
cordilheiras 1
atingindo 1
altitudes 1
intervalos 1
espinhaço 1
mantiqueira 1
guianas 1
constitui 1
fosso 1
drenagem 1
separando 1
correm 1
deságuam 1
orinoco 1
pico 1
neblina 1
imeri 1
denso 1
complexo 1
extensos 1
bacias 1
hidrográficas 1
drenam 1
comprimento 1
volume 1
vazão 1
litros 1
minuto 1
afluente 1
negro 1
xingu 1
tapajós 1
biomas 1
onçapintada 1
piquirí 1
amazônia 1
biodiversa 1
biológica 1
amazônicos 1
fornecem 1
pântanos 1
riachos 1
abrigando 1
tipos 1
mata 1
atlântica 1
cerrado 1
sustentam 1
caatinga 1
megadiverso 1
araucárias 1
cresce 1
rica 1
reflete 1
cientistas 1
estimam 1
vegetais 1
mamíferos 1
pumas 1
onças 1
jaguatiricas 1
raros 1
cachorrosvinagre 1
raposas 1
queixadas 1
antas 1
tamanduás 1
preguiças 1
gambás 1
tatus 1
veados 1
abundantes 1
platyrrhini 1
preocupação 1
crescido 1
interesse 1
seriamente 1
ameaçado 1
madeireira 1
reassentamento 1
desmatamento 1
extração 1
sobrepesca 1
contaminação 1
fogo 1
invasoras 1
aquecimento 1
anteriormente 1
inundaram 1
